participant_id,agent_type,condition,level,sublevel,sublevel_index,won
1,human,explicit,1,A,1,1
1,human,explicit,1,B,2,1
1,human,explicit,1,C,3,1
1,human,explicit,1,D,4,1
1,human,explicit,1,E,5,1
1,human,explicit,1,F,6,1
1,human,explicit,2,A,7,0
1,human,explicit,2,B,8,0
1,human,explicit,2,C,9,1
1,human,explicit,2,D,10,1
1,human,explicit,2,E,11,1
1,human,explicit,2,F,12,1
1,human,explicit,3,A,13,1
1,human,explicit,3,B,14,1
1,human,explicit,3,C,15,1
1,human,explicit,3,D,16,1
1,human,explicit,3,E,17,1
1,human,explicit,3,F,18,1
2,human,implicit,1,A,1,1
2,human,implicit,1,B,2,1
2,human,implicit,1,C,3,1
2,human,implicit,1,D,4,1
2,human,implicit,1,E,5,1
2,human,implicit,1,F,6,1
2,human,implicit,2,A,7,0
2,human,implicit,2,B,8,0
2,human,implicit,2,C,9,1
2,human,implicit,2,D,10,1
2,human,implicit,2,E,11,0
2,human,implicit,2,F,12,1
2,human,implicit,3,A,13,0
2,human,implicit,3,B,14,1
2,human,implicit,3,C,15,0
2,human,implicit,3,D,16,1
2,human,implicit,3,E,17,1
2,human,implicit,3,F,18,1
4,human,implicit,1,A,1,1
4,human,implicit,1,B,2,1
4,human,implicit,1,C,3,1
4,human,implicit,1,D,4,1
4,human,implicit,1,E,5,1
4,human,implicit,1,F,6,0
4,human,implicit,2,A,7,1
4,human,implicit,2,B,8,1
4,human,implicit,2,C,9,1
4,human,implicit,2,D,10,0
4,human,implicit,2,E,11,0
4,human,implicit,2,F,12,1
4,human,implicit,3,A,13,1
4,human,implicit,3,B,14,1
4,human,implicit,3,C,15,1
4,human,implicit,3,D,16,1
4,human,implicit,3,E,17,1
4,human,implicit,3,F,18,1
7,human,explicit,1,A,1,1
7,human,explicit,1,B,2,1
7,human,explicit,1,C,3,1
7,human,explicit,1,D,4,1
7,human,explicit,1,E,5,1
7,human,explicit,1,F,6,1
7,human,explicit,2,A,7,1
7,human,explicit,2,B,8,1
7,human,explicit,2,C,9,1
7,human,explicit,2,D,10,1
7,human,explicit,2,E,11,1
7,human,explicit,2,F,12,1
7,human,explicit,3,A,13,1
7,human,explicit,3,B,14,1
7,human,explicit,3,C,15,1
7,human,explicit,3,D,16,1
7,human,explicit,3,E,17,1
7,human,explicit,3,F,18,1
10,human,implicit,1,A,1,1
10,human,implicit,1,B,2,1
10,human,implicit,1,C,3,0
10,human,implicit,1,D,4,1
10,human,implicit,1,E,5,1
10,human,implicit,1,F,6,1
10,human,implicit,2,A,7,1
10,human,implicit,2,B,8,0
10,human,implicit,2,C,9,0
